,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
30,0.0566,https://api.spotify.com/v1/audio-analysis/4GFJRLgxy4chyfWqfPTJaI,0.849,227600,0.613,4GFJRLgxy4chyfWqfPTJaI,0.0,0,0.335,-4.796,1,0.0715,1,94.75,4,https://api.spotify.com/v1/tracks/4GFJRLgxy4chyfWqfPTJaI,audio_features,spotify:track:4GFJRLgxy4chyfWqfPTJaI,0.673
31,0.0573,https://api.spotify.com/v1/audio-analysis/3wM5rX2XnwvTtXs58D2rKw,0.843,200200,0.612,3wM5rX2XnwvTtXs58D2rKw,0.000305,10,0.154,-4.71,0,0.157,1,93.975,4,https://api.spotify.com/v1/tracks/3wM5rX2XnwvTtXs58D2rKw,audio_features,spotify:track:3wM5rX2XnwvTtXs58D2rKw,0.791
32,0.114,https://api.spotify.com/v1/audio-analysis/39YovPslPCXbFYhlYjsZ2Y,0.879,213227,0.73,39YovPslPCXbFYhlYjsZ2Y,0.0,11,0.241,-4.369,0,0.164,1,99.925,4,https://api.spotify.com/v1/tracks/39YovPslPCXbFYhlYjsZ2Y,audio_features,spotify:track:39YovPslPCXbFYhlYjsZ2Y,0.885
33,0.0071,https://api.spotify.com/v1/audio-analysis/423EcxblW9F4nnQkqcqMlK,0.644,240280,0.746,423EcxblW9F4nnQkqcqMlK,1.22e-05,7,0.0743,-4.941,1,0.341,1,105.253,4,https://api.spotify.com/v1/tracks/423EcxblW9F4nnQkqcqMlK,audio_features,spotify:track:423EcxblW9F4nnQkqcqMlK,0.355
34,0.136,https://api.spotify.com/v1/audio-analysis/7umwyk9FNWoLUZsw7B9OII,0.665,206773,0.734,7umwyk9FNWoLUZsw7B9OII,4.53e-05,5,0.112,-4.503,0,0.0765,1,90.163,4,https://api.spotify.com/v1/tracks/7umwyk9FNWoLUZsw7B9OII,audio_features,spotify:track:7umwyk9FNWoLUZsw7B9OII,0.742
35,0.068,https://api.spotify.com/v1/audio-analysis/16b35T8ZrXwyJpODVxlqwh,0.42,334000,0.463,16b35T8ZrXwyJpODVxlqwh,0.0,6,0.119,-9.056,1,0.12,1,78.83,4,https://api.spotify.com/v1/tracks/16b35T8ZrXwyJpODVxlqwh,audio_features,spotify:track:16b35T8ZrXwyJpODVxlqwh,0.659
36,0.479,https://api.spotify.com/v1/audio-analysis/1u98zyEImzP4RZSAai3iSE,0.652,236373,0.602,1u98zyEImzP4RZSAai3iSE,0.0,11,0.0986,-5.969,0,0.0311,1,96.17,4,https://api.spotify.com/v1/tracks/1u98zyEImzP4RZSAai3iSE,audio_features,spotify:track:1u98zyEImzP4RZSAai3iSE,0.728
37,0.143,https://api.spotify.com/v1/audio-analysis/623M2eiRUKVIDJGTuKsvut,0.628,253267,0.734,623M2eiRUKVIDJGTuKsvut,0.0,9,0.037,-4.123,0,0.305,1,195.839,4,https://api.spotify.com/v1/tracks/623M2eiRUKVIDJGTuKsvut,audio_features,spotify:track:623M2eiRUKVIDJGTuKsvut,0.631
38,0.211,https://api.spotify.com/v1/audio-analysis/0e42i89bY2NmPuVDtey8pg,0.92,211400,0.861,0e42i89bY2NmPuVDtey8pg,2.59e-05,7,0.0288,-5.435,1,0.218,1,97.969,4,https://api.spotify.com/v1/tracks/0e42i89bY2NmPuVDtey8pg,audio_features,spotify:track:0e42i89bY2NmPuVDtey8pg,0.718
39,0.17,https://api.spotify.com/v1/audio-analysis/3SfZpKjMwvUQKGCty1dJ0T,0.563,258667,0.746,3SfZpKjMwvUQKGCty1dJ0T,5.58e-06,11,0.338,-4.832,0,0.101,1,186.118,4,https://api.spotify.com/v1/tracks/3SfZpKjMwvUQKGCty1dJ0T,audio_features,spotify:track:3SfZpKjMwvUQKGCty1dJ0T,0.598
40,0.293,https://api.spotify.com/v1/audio-analysis/4LMlDlaYjowGVlr3TV7bUA,0.667,270907,0.781,4LMlDlaYjowGVlr3TV7bUA,0.0,11,0.0517,-4.973,0,0.0981,1,92.77,4,https://api.spotify.com/v1/tracks/4LMlDlaYjowGVlr3TV7bUA,audio_features,spotify:track:4LMlDlaYjowGVlr3TV7bUA,0.758
41,0.0391,https://api.spotify.com/v1/audio-analysis/1AjQE5MtP5jHQMyDepbvLI,0.811,184907,0.657,1AjQE5MtP5jHQMyDepbvLI,0.712,6,0.0798,-6.197,1,0.362,1,199.958,4,https://api.spotify.com/v1/tracks/1AjQE5MtP5jHQMyDepbvLI,audio_features,spotify:track:1AjQE5MtP5jHQMyDepbvLI,0.777
42,0.0119,https://api.spotify.com/v1/audio-analysis/7FH0VxmvgfPJWfvillVzfE,0.867,225319,0.432,7FH0VxmvgfPJWfvillVzfE,0.0,7,0.069,-7.466,1,0.188,1,94.017,4,https://api.spotify.com/v1/tracks/7FH0VxmvgfPJWfvillVzfE,audio_features,spotify:track:7FH0VxmvgfPJWfvillVzfE,0.88
43,0.0141,https://api.spotify.com/v1/audio-analysis/440JHgcmlgu65MbKBg20ba,0.563,324307,0.751,440JHgcmlgu65MbKBg20ba,0.0,6,0.636,-4.325,1,0.317,1,85.789,4,https://api.spotify.com/v1/tracks/440JHgcmlgu65MbKBg20ba,audio_features,spotify:track:440JHgcmlgu65MbKBg20ba,0.487
44,0.362,https://api.spotify.com/v1/audio-analysis/75DjPjiIp2fvJDjtt41Jfs,0.707,234893,0.538,75DjPjiIp2fvJDjtt41Jfs,0.0,0,0.317,-5.264,1,0.505,1,121.732,4,https://api.spotify.com/v1/tracks/75DjPjiIp2fvJDjtt41Jfs,audio_features,spotify:track:75DjPjiIp2fvJDjtt41Jfs,0.439
45,0.291,https://api.spotify.com/v1/audio-analysis/0YkJU6TjjwzsVXUPRIO0DB,0.605,253573,0.614,0YkJU6TjjwzsVXUPRIO0DB,0.0,11,0.209,-6.745,1,0.0967,1,86.491,4,https://api.spotify.com/v1/tracks/0YkJU6TjjwzsVXUPRIO0DB,audio_features,spotify:track:0YkJU6TjjwzsVXUPRIO0DB,0.573
46,0.213,https://api.spotify.com/v1/audio-analysis/14NRhsU1iVH0weeSCxThke,0.656,266933,0.619,14NRhsU1iVH0weeSCxThke,0.0,3,0.233,-5.08,0,0.0759,1,93.982,4,https://api.spotify.com/v1/tracks/14NRhsU1iVH0weeSCxThke,audio_features,spotify:track:14NRhsU1iVH0weeSCxThke,0.731
47,0.102,https://api.spotify.com/v1/audio-analysis/5zn1hpm9N0ylKB7kOtpCw2,0.721,263440,0.723,5zn1hpm9N0ylKB7kOtpCw2,4.4e-06,2,0.0651,-7.08,0,0.0631,1,88.933,4,https://api.spotify.com/v1/tracks/5zn1hpm9N0ylKB7kOtpCw2,audio_features,spotify:track:5zn1hpm9N0ylKB7kOtpCw2,0.761
48,0.19,https://api.spotify.com/v1/audio-analysis/5AE7wPSIZ5f9hcgBA83nC6,0.709,296733,0.891,5AE7wPSIZ5f9hcgBA83nC6,0.0102,5,0.276,-3.552,0,0.049,1,99.376,4,https://api.spotify.com/v1/tracks/5AE7wPSIZ5f9hcgBA83nC6,audio_features,spotify:track:5AE7wPSIZ5f9hcgBA83nC6,0.511
49,0.0234,https://api.spotify.com/v1/audio-analysis/2ndnVdR8si7CW9T8vJRHyW,0.876,232000,0.71,2ndnVdR8si7CW9T8vJRHyW,0.000161,11,0.0573,-6.446,0,0.0446,1,121.072,4,https://api.spotify.com/v1/tracks/2ndnVdR8si7CW9T8vJRHyW,audio_features,spotify:track:2ndnVdR8si7CW9T8vJRHyW,0.828
50,0.0701,https://api.spotify.com/v1/audio-analysis/49YeEoXjdJBaVOjghMPEdR,0.702,210427,0.89,49YeEoXjdJBaVOjghMPEdR,0.0,7,0.385,-3.794,1,0.214,1,166.115,4,https://api.spotify.com/v1/tracks/49YeEoXjdJBaVOjghMPEdR,audio_features,spotify:track:49YeEoXjdJBaVOjghMPEdR,0.887
51,0.0798,https://api.spotify.com/v1/audio-analysis/1afvj3F24pPABgXenbjmdQ,0.488,272920,0.954,1afvj3F24pPABgXenbjmdQ,0.0,11,0.163,-1.584,1,0.326,1,202.535,4,https://api.spotify.com/v1/tracks/1afvj3F24pPABgXenbjmdQ,audio_features,spotify:track:1afvj3F24pPABgXenbjmdQ,0.596
52,0.0688,https://api.spotify.com/v1/audio-analysis/68jXxSRBO6lM4Ot6aBzhsS,0.914,258093,0.603,68jXxSRBO6lM4Ot6aBzhsS,0.0,7,0.0244,-5.683,1,0.324,1,98.017,4,https://api.spotify.com/v1/tracks/68jXxSRBO6lM4Ot6aBzhsS,audio_features,spotify:track:68jXxSRBO6lM4Ot6aBzhsS,0.66
53,0.173,https://api.spotify.com/v1/audio-analysis/0ho4ac5tM9CNcmeIElhadF,0.698,250493,0.722,0ho4ac5tM9CNcmeIElhadF,0.0,5,0.289,-5.319,0,0.0799,1,90.116,4,https://api.spotify.com/v1/tracks/0ho4ac5tM9CNcmeIElhadF,audio_features,spotify:track:0ho4ac5tM9CNcmeIElhadF,0.67
54,0.246,https://api.spotify.com/v1/audio-analysis/1yzEzpUHxZFzxr6FP90Lz5,0.904,298333,0.709,1yzEzpUHxZFzxr6FP90Lz5,0.0,11,0.113,-5.894,0,0.129,1,101.006,4,https://api.spotify.com/v1/tracks/1yzEzpUHxZFzxr6FP90Lz5,audio_features,spotify:track:1yzEzpUHxZFzxr6FP90Lz5,0.963
55,0.00933,https://api.spotify.com/v1/audio-analysis/4LmzPJDil70LpiApWfOI6O,0.887,182813,0.774,4LmzPJDil70LpiApWfOI6O,0.0213,1,0.159,-6.108,1,0.0434,1,113.0,4,https://api.spotify.com/v1/tracks/4LmzPJDil70LpiApWfOI6O,audio_features,spotify:track:4LmzPJDil70LpiApWfOI6O,0.826
56,0.0825,https://api.spotify.com/v1/audio-analysis/5hF2LnbkpnXCkksMSeWcxZ,0.786,234133,0.511,5hF2LnbkpnXCkksMSeWcxZ,0.0,7,0.12,-6.66,1,0.286,1,80.0,4,https://api.spotify.com/v1/tracks/5hF2LnbkpnXCkksMSeWcxZ,audio_features,spotify:track:5hF2LnbkpnXCkksMSeWcxZ,0.587
57,0.257,https://api.spotify.com/v1/audio-analysis/6VixoRqnikN4QqegoKUSbH,0.69,329627,0.877,6VixoRqnikN4QqegoKUSbH,0.0,1,0.14,-4.074,0,0.264,1,92.165,4,https://api.spotify.com/v1/tracks/6VixoRqnikN4QqegoKUSbH,audio_features,spotify:track:6VixoRqnikN4QqegoKUSbH,0.779
