,danceability,duration_ms,energy,loudness,mode,target,tempo,valence
124,0.828,233360,0.792,-5.435,0,1,134.19899999999998,0.777
125,0.868,231200,0.805,-3.218,0,1,143.983,0.544
126,0.914,275907,0.794,-3.897,1,1,140.128,0.9620000000000001
127,0.745,213760,0.841,-4.774,1,1,97.90899999999999,0.767
128,0.8809999999999999,266067,0.622,-4.149,1,1,91.98899999999999,0.633
129,0.662,223440,0.507,-8.238,1,1,86.412,0.6759999999999999
130,0.727,256000,0.736,-6.202999999999999,1,1,85.1,0.687
131,0.263,366733,0.6629999999999999,-8.264,1,1,167.271,0.25
132,0.667,303333,0.41,-8.323,0,1,75.069,0.493
133,0.47700000000000004,227387,0.728,-5.71,1,1,89.209,0.69
134,0.7120000000000001,209120,0.805,-3.142,0,1,94.973,0.851
135,0.669,265707,0.5760000000000001,-6.475,1,1,79.042,0.456
136,0.7170000000000001,262560,0.508,-6.392,0,1,89.473,0.6809999999999999
137,0.6459999999999999,236133,0.77,-6.596,0,1,99.165,0.6809999999999999
138,0.75,301133,0.45799999999999996,-9.092,1,1,83.61,0.536
139,0.925,379120,0.728,-6.82,1,1,96.54,0.667
140,0.713,271333,0.6779999999999999,-3.525,0,1,138.009,0.7340000000000001
141,0.84,207907,0.835,-4.386,0,1,103.376,0.637
142,0.73,221133,0.602,-3.782,0,1,97.954,0.927
143,0.8140000000000001,242013,0.899,-5.957999999999999,1,1,119.01100000000001,0.545
144,0.878,325573,0.41700000000000004,-6.7989999999999995,1,1,77.49,0.904
145,0.9440000000000001,203787,0.511,-10.96,0,1,113.046,0.8420000000000001
146,0.826,223000,0.647,-6.306,0,1,102.01700000000001,0.872
147,0.8,256347,0.496,-7.135,1,1,128.29,0.35700000000000004
148,0.838,201400,0.469,-7.992000000000001,1,1,139.975,0.778
149,0.795,203360,0.638,-4.829,0,1,95.963,0.8440000000000001
150,0.7659999999999999,232840,0.49,-6.553,1,1,134.143,0.8320000000000001
151,0.716,204733,0.6659999999999999,-7.718999999999999,0,1,78.498,0.8640000000000001
152,0.85,229867,0.48200000000000004,-6.684,0,1,100.95700000000001,0.217
153,0.605,229040,0.633,-5.899,0,1,87.26,0.5920000000000001
154,0.9109999999999999,265867,0.5529999999999999,-3.74,0,1,92.89299999999999,0.97
155,0.596,232573,0.6609999999999999,-6.239,0,1,129.491,0.86
156,0.637,336733,0.63,-4.431,0,1,81.582,0.601
157,0.78,236827,0.69,-4.958,0,1,98.00200000000001,0.341
158,0.669,214600,0.61,-8.217,1,1,94.439,0.428
159,0.76,225347,0.555,-4.048,0,1,125.964,0.56
160,0.677,192107,0.682,-6.879,1,1,106.279,0.875
161,0.8959999999999999,223133,0.457,-9.075,0,1,100.04299999999999,0.9209999999999999
162,0.779,283360,0.562,-7.031000000000001,0,1,86.01,0.684
163,0.745,234733,0.62,-8.24,1,1,99.985,0.603
164,0.835,209490,0.6779999999999999,-6.457999999999999,1,1,132.868,0.708
165,0.917,205587,0.546,-7.499,1,1,100.758,0.547
166,0.894,250373,0.7909999999999999,-4.699,1,1,105.01799999999999,0.583
167,0.843,270507,0.805,-5.946000000000001,0,1,94.946,0.615
168,0.725,240027,0.64,-7.905,0,1,166.02900000000002,0.915
169,0.728,235213,0.9740000000000001,-2.261,0,1,79.52600000000001,0.965
170,0.871,234000,0.597,-4.9319999999999995,0,1,125.999,0.635
171,0.64,229773,0.527,-7.683,0,1,164.02900000000002,0.603
172,0.764,213133,0.732,-7.232,1,1,89.976,0.652
173,0.733,294693,0.521,-3.657,0,1,112.913,0.525
174,0.618,242773,0.552,-6.8629999999999995,1,1,81.975,0.586
175,0.753,257787,0.516,-5.164,1,1,122.01899999999999,0.826
176,0.825,192440,0.855,-4.155,1,1,102.631,0.5479999999999999
177,0.7170000000000001,226400,0.754,-4.263999999999999,1,1,117.34700000000001,0.6729999999999999
178,0.8340000000000001,230133,0.652,-7.899,0,1,95.015,0.5479999999999999
179,0.588,208573,0.461,-8.686,0,1,200.053,0.659
180,0.511,214960,0.589,-6.178999999999999,0,1,100.814,0.757
181,0.894,236507,0.40399999999999997,-5.912999999999999,0,1,102.009,0.759
182,0.867,284027,0.593,-7.775,0,1,95.50399999999999,0.885
183,0.75,204707,0.7709999999999999,-5.622999999999999,1,1,83.064,0.8220000000000001
184,0.9009999999999999,283387,0.512,-6.468,1,1,85.012,0.638
185,0.7879999999999999,302000,0.8079999999999999,-4.77,0,1,143.04,0.8440000000000001
186,0.8859999999999999,229813,0.62,-5.854,1,1,76.035,0.6
187,0.713,285587,0.47100000000000003,-7.392,0,1,199.765,0.7809999999999999
188,0.833,263240,0.7809999999999999,-4.694,0,1,93.13799999999999,0.812
189,0.563,331427,0.612,-7.436,0,1,117.088,0.591
190,0.7759999999999999,244187,0.736,-6.308,1,1,159.838,0.536
191,0.698,295827,0.925,-4.209,0,1,96.95299999999999,0.6759999999999999
192,0.66,237800,0.536,-8.786,0,1,159.963,0.775
193,0.7909999999999999,201000,0.725,-4.244,0,1,84.57,0.5539999999999999
194,0.711,248200,0.733,-4.96,0,1,172.925,0.87
195,0.6709999999999999,280013,0.499,-7.766,1,1,84.045,0.0854
196,0.925,243027,0.748,-5.572,0,1,92.978,0.615
197,0.701,253733,0.885,-6.81,1,1,121.54,0.741
198,0.7609999999999999,263227,0.627,-5.553999999999999,1,1,109.821,0.8909999999999999
199,0.725,296693,0.48700000000000004,-5.959,0,1,136.086,0.599
200,0.831,243467,0.713,-6.9670000000000005,0,1,99.584,0.6829999999999999
201,0.7709999999999999,230200,0.685,-4.638999999999999,1,1,88.99700000000001,0.6829999999999999
202,0.8290000000000001,205653,0.6990000000000001,-5.321000000000001,1,1,178.454,0.9229999999999999
203,0.723,222360,0.644,-4.803,1,1,189.537,0.743
204,0.867,303027,0.6920000000000001,-7.125,0,1,101.027,0.637
205,0.6859999999999999,253200,0.698,-2.9419999999999997,0,1,93.118,0.748
206,0.68,239747,0.659,-5.242999999999999,0,1,106.083,0.6409999999999999
207,0.879,272080,0.643,-3.7089999999999996,1,1,120.012,0.5820000000000001
208,0.907,163133,0.625,-5.557,1,1,99.91799999999999,0.605
209,0.652,230413,0.642,-5.657,1,1,87.009,0.765
210,0.795,284947,0.674,-4.937,0,1,93.087,0.728
211,0.84,257360,0.493,-5.9,0,1,96.99799999999999,0.361
212,0.486,275240,0.46,-7.547999999999999,0,1,138.907,0.252
213,0.601,186307,0.621,-5.662000000000001,0,1,94.553,0.29
214,0.636,238747,0.946,-4.683,0,1,125.085,0.8909999999999999
215,0.8170000000000001,224640,0.8059999999999999,-4.606,1,1,110.086,0.805
216,0.7959999999999999,231933,0.47700000000000004,-7.1610000000000005,1,1,119.928,0.685
217,0.816,247840,0.5,-4.551,1,1,124.037,0.649
218,0.7340000000000001,219867,0.599,-8.462,1,1,145.185,0.772
219,0.6729999999999999,289747,0.614,-5.426,1,1,176.05200000000002,0.36200000000000004
220,0.603,257893,0.782,-4.832,1,1,124.303,0.731
221,0.777,304000,0.474,-10.211,0,1,164.123,0.63
222,0.845,211200,0.467,-7.6739999999999995,1,1,138.007,0.7020000000000001
223,0.6709999999999999,293667,0.782,-5.4,1,1,87.649,0.905
224,0.735,211666,0.8240000000000001,-4.143,0,1,100.20200000000001,0.726
225,0.624,288333,0.653,-6.582000000000001,0,1,73.884,0.565
226,0.6729999999999999,249467,0.785,-2.8939999999999997,0,1,84.60700000000001,0.85
227,0.884,252440,0.6970000000000001,-6.022,1,1,101.965,0.322
228,0.7240000000000001,246333,0.6890000000000001,-5.922000000000001,0,1,146.496,0.693
229,0.578,235533,0.6659999999999999,-7.1,1,1,195.13,0.591
230,0.823,284467,0.496,-7.831,0,1,89.87200000000001,0.41200000000000003
231,0.867,286733,0.677,-6.678,1,1,162.804,0.525
232,0.903,221160,0.413,-4.635,0,1,100.039,0.7809999999999999
